-SS,http://codes.wmo.int/306/4678/-SS
-TSGR,http://codes.wmo.int/306/4678/-TSGR
-TSGRRA,http://codes.wmo.int/306/4678/-TSGRRA
-TSGRRASN,http://codes.wmo.int/306/4678/-TSGRRASN
-TSGRSN,http://codes.wmo.int/306/4678/-TSGRSN
-TSGRSNRA,http://codes.wmo.int/306/4678/-TSGRSNRA
-TSGS,http://codes.wmo.int/306/4678/-TSGS
-TSGSRA,http://codes.wmo.int/306/4678/-TSGSRA
-TSGSRASN,http://codes.wmo.int/306/4678/-TSGSRASN
-TSGSSN,http://codes.wmo.int/306/4678/-TSGSSN
-TSGSSNRA,http://codes.wmo.int/306/4678/-TSGSSNRA
-TSRA,http://codes.wmo.int/306/4678/-TSRA
-TSRAGR,http://codes.wmo.int/306/4678/-TSRAGR
-TSRAGRSN,http://codes.wmo.int/306/4678/-TSRAGRSN
-TSRAGS,http://codes.wmo.int/306/4678/-TSRAGS
-TSRAGSSN,http://codes.wmo.int/306/4678/-TSRAGSSN
-TSRASN,http://codes.wmo.int/306/4678/-TSRASN
-TSRASNGR,http://codes.wmo.int/306/4678/-TSRASNGR
-TSRASNGS,http://codes.wmo.int/306/4678/-TSRASNGS
-TSSN,http://codes.wmo.int/306/4678/-TSSN
-TSSNGR,http://codes.wmo.int/306/4678/-TSSNGR
-TSSNGRRA,http://codes.wmo.int/306/4678/-TSSNGRRA
-TSSNGS,http://codes.wmo.int/306/4678/-TSSNGS
-TSSNGSRA,http://codes.wmo.int/306/4678/-TSSNGSRA
-TSSNRA,http://codes.wmo.int/306/4678/-TSSNRA
-TSSNRAGR,http://codes.wmo.int/306/4678/-TSSNRAGR
-TSSNRAGS,http://codes.wmo.int/306/4678/-TSSNRAGS
-TSUP,http://codes.wmo.int/306/4678/-TSUP
-UP,http://codes.wmo.int/306/4678/-UP
BCFG,http://codes.wmo.int/306/4678/BCFG
BLDU,http://codes.wmo.int/306/4678/BLDU
BLSA,http://codes.wmo.int/306/4678/BLSA
BLSN,http://codes.wmo.int/306/4678/BLSN
BR,http://codes.wmo.int/306/4678/BR
DRDU,http://codes.wmo.int/306/4678/DRDU
DRSA,http://codes.wmo.int/306/4678/DRSA
DRSN,http://codes.wmo.int/306/4678/DRSN
DS,http://codes.wmo.int/306/4678/DS
DU,http://codes.wmo.int/306/4678/DU
DZ,http://codes.wmo.int/306/4678/DZ
DZPL,http://codes.wmo.int/306/4678/DZPL
DZPLRA,http://codes.wmo.int/306/4678/DZPLRA
DZRA,http://codes.wmo.int/306/4678/DZRA
DZRAPL,http://codes.wmo.int/306/4678/DZRAPL
DZRASG,http://codes.wmo.int/306/4678/DZRASG
DZRASN,http://codes.wmo.int/306/4678/DZRASN
DZSG,http://codes.wmo.int/306/4678/DZSG
DZSGRA,http://codes.wmo.int/306/4678/DZSGRA
DZSN,http://codes.wmo.int/306/4678/DZSN
DZSNRA,http://codes.wmo.int/306/4678/DZSNRA
FC,http://codes.wmo.int/306/4678/FC
FG,http://codes.wmo.int/306/4678/FG
FU,http://codes.wmo.int/306/4678/FU
FZDZ,http://codes.wmo.int/306/4678/FZDZ
FZDZRA,http://codes.wmo.int/306/4678/FZDZRA
FZFG,http://codes.wmo.int/306/4678/FZFG
FZRA,http://codes.wmo.int/306/4678/FZRA
